RMSE,MAE,R2,Model,Dropped_Feature
4.737990154571469,3.115618069317088,0.9186213689509719,RandomForest,Average_Price_rollmean_7
5.88061172615463,4.2345796944438545,0.8746376619810046,XGBoost,Average_Price_rollmean_7
6.062124384536468,4.287942275440871,0.8667792856035706,LightGBM,day_of_week
4.226088325834622,2.798563827424064,0.9352560471269391,Linear,day_of_week
4.71709268295647,3.0892444601984432,0.919337646195327,RandomForest,day_of_week
5.832886261067519,4.205643127551977,0.8766642190982872,XGBoost,day_of_week
5.920388347653572,4.0391606543054275,0.8729360177024397,LightGBM,month
4.232428298612428,2.8107794760489018,0.9350616438092357,Linear,month
4.710517833042013,3.0874475248375832,0.9195623495456097,RandomForest,month
5.925461479772768,4.230375045555226,0.8727181642396468,XGBoost,month
5.917134127708233,4.138407507108801,0.8730756641175,LightGBM,Supply_Volume_rollmean_3
4.22621729977312,2.799768846040713,0.935252095288089,Linear,Supply_Volume_rollmean_3
4.73653382711566,3.1038246138992265,0.9186713883545122,RandomForest,Supply_Volume_rollmean_3
5.827608162880124,4.161917145217675,0.8768873277967368,XGBoost,Supply_Volume_rollmean_3
5.962839791786437,4.147445430865286,0.8711072902862844,LightGBM,is_festival
4.2245032269772445,2.79872035788293,0.9353046056575154,Linear,is_festival
4.706096925446544,3.0809124766067755,0.919713263122589,RandomForest,is_festival
5.925461479772768,4.230375045555226,0.8727181642396468,XGBoost,is_festival
5.888869054494828,4.037634639218227,0.8742853568810488,LightGBM,Season_Spring
4.224405730931931,2.798874509291359,0.9353075917943341,Linear,Season_Spring
4.690791750529871,3.076453284090948,0.920234631217703,RandomForest,Season_Spring
5.572912217599787,3.9626031726339597,0.8874134589864309,XGBoost,Season_Spring
6.18151958220881,4.323368068121039,0.8614799719738783,LightGBM,Hilly_Rainfall_MM
4.208803133375155,2.7789029371046947,0.9357845846072061,Linear,Hilly_Rainfall_MM
4.699225707778897,3.079423886917878,0.9199475400266697,RandomForest,Hilly_Rainfall_MM
5.819062949951516,4.1823055062777765,0.8772481113841584,XGBoost,Hilly_Rainfall_MM
6.113023763339218,4.287004145291365,0.8645327732635235,LightGBM,day
4.229189942823343,2.8035201787356727,0.9351609782980874,Linear,day
4.657218393168676,3.0945637925902356,0.9213723528617345,RandomForest,day
